x,y,z,h,local_x,local_y,local_z
432696.58717227395,6424153.859853098,135.09860694254556,34.47,169.64000000000001,16.67,-24.52
432718.0506026897,6424175.399239226,134.93860694254556,34.31,190.16,39.11,-24.68
432684.99144709844,6424180.791894567,134.54860694254558,33.92,156.9,43.08,-25.07
432661.543948027,6424165.263121682,134.29860694254558,33.67,134.14000000000001,26.560000000000002,-25.32
432740.10875567934,6424157.626957811,134.05860694254557,33.43,212.96,22.3,-25.560000000000002
432745.7333864279,6424200.054783927,133.97860694254558,33.35,216.76,64.93,-25.64
432762.13360191026,6424160.765340917,133.95860694254557,33.33,234.83,26.38,-25.66
432656.6135998031,6424175.854295669,133.91860694254558,33.290000000000006,128.76,36.93,-25.7
432650.89885520085,6424193.355464033,133.84860694254556,33.22,122.3,54.17,-25.77
432733.10017933056,6424174.833339117,133.84860694254556,33.22,205.22,39.19,-25.77
432743.58294023585,6424204.52111141,133.77860694254557,33.150000000000006,214.42000000000002,69.3,-25.84
432731.49018210033,6424161.109756897,133.76860694254557,33.14,204.20000000000002,25.41,-25.85
432719.722511088,6424169.11175783,133.73860694254557,33.11,192.1,32.9,-25.88
432716.15014214633,6424161.437894389,133.72860694254558,33.1,188.86,25.080000000000002,-25.89
432674.1519518652,6424267.316326625,133.64860694254557,33.02,142.36,129.06,-25.97
432688.47096690815,6424156.920720697,133.62860694254556,33.0,161.4,19.38,-25.990000000000002
432689.66773694666,6424170.111533467,133.62860694254556,33.0,162.03,32.61,-25.990000000000002
432686.38454481115,6424162.645460242,133.60860694254558,32.980000000000004,159.07,25.01,-26.01
432728.7416246036,6424185.92044878,133.59860694254556,32.97,200.39000000000001,50.08,-26.02
432745.2457393347,6424166.074436662,133.59860694254556,32.97,217.73000000000002,30.96,-26.02
432726.07441587996,6424249.703503721,133.58860694254557,32.96,194.99,113.69,-26.03
432670.3520957998,6424181.820628526,133.57860694254558,32.95,142.23,43.480000000000004,-26.04
432665.8375477814,6424193.0045167655,133.55860694254557,32.93,137.24,54.46,-26.060000000000002
432681.81288016296,6424173.431431794,133.52860694254557,32.900000000000006,154.04,35.59,-26.09
432702.91054828616,6424156.601206015,133.46860694254556,32.84,175.84,19.68,-26.150000000000002
432702.92080252734,6424195.316381268,133.38860694254558,32.760000000000005,174.19,58.36,-26.23
432719.7774581442,6424266.699174441,133.28860694254556,32.66,187.97,130.4,-26.330000000000002
432683.485526932,6424206.570187847,133.27860694254557,32.650000000000006,154.29,68.77,-26.34
432680.8707010865,6424192.289183478,133.26860694254557,32.64,152.29,54.39,-26.35
432700.2928605908,6424200.784106679,133.26860694254557,32.64,171.33,63.71,-26.35
432720.20847252477,6424246.89247036,133.26860694254557,32.64,189.25,110.63,-26.35
432709.777414641,6424159.179101758,133.23860694254557,32.61,182.59,22.55,-26.38
432711.51210429845,6424191.664596241,133.23860694254557,32.61,182.93,55.08,-26.38
432671.28938400897,6424162.382552725,133.19860694254555,32.57,144.0,24.1,-26.42
432692.16781921097,6424184.517573472,133.19860694254555,32.57,163.91,47.11,-26.42
432757.90951720526,6424172.186991779,133.18860694254556,32.56,230.12,37.61,-26.43
432727.1449212791,6424172.506581387,133.16860694254558,32.540000000000006,199.37,36.61,-26.45
432685.7369939639,6424201.659119103,133.15860694254556,32.53,156.75,63.96,-26.46
432707.4672934513,6424183.710735217,133.13860694254558,32.510000000000005,179.23,46.96,-26.48
432692.13377579773,6424222.433913497,133.12860694254556,32.5,162.25,84.99,-26.490000000000002
432749.03547858447,6424186.740930716,133.09860694254556,32.47,220.63,51.77,-26.52
432601.62092599354,6424186.532400712,133.08860694254557,32.46,73.36,45.24,-26.53
432711.9881464243,6424172.906926242,133.06860694254556,32.44,184.21,36.36,-26.55
432644.6130389129,6424171.434856979,133.04860694254558,32.42,116.96000000000001,32.0,-26.57
432726.7464062203,6424191.671301205,133.04860694254558,32.42,198.15,55.74,-26.57
432625.4957955541,6424163.747600878,133.03860694254556,32.41,98.19,23.5,-26.580000000000002
432676.73425354995,6424164.7111994745,133.03860694254556,32.41,149.34,26.66,-26.580000000000002
432644.0282651849,6424229.633472423,133.02860694254557,32.400000000000006,113.88,90.12,-26.59
432722.92966844817,6424183.667613755,133.01860694254557,32.39,194.68,47.58,-26.6
432739.94492818514,6424216.538177121,133.01860694254557,32.39,210.27,81.15,-26.6
432684.0504507786,6424167.730232119,133.00860694254555,32.38,156.52,29.990000000000002,-26.61
432750.9959119022,6424188.108118049,133.00860694254555,32.38,222.53,53.22,-26.61
432632.1438536838,6424185.712714653,132.98860694254557,32.36,103.89,45.730000000000004,-26.63
432672.4109111586,6424233.750110317,132.98860694254557,32.36,142.06,95.45,-26.63
432750.5640776652,6424169.419444496,132.97860694254558,32.35,222.9,34.53,-26.64
432642.4008510876,6424176.794654087,132.92860694254557,32.3,114.52,37.26,-26.69
432696.2227525791,6424211.828807707,132.91860694254558,32.290000000000006,166.79,74.57000000000001,-26.7
432754.9936849695,6424177.476899373,132.88860694254558,32.260000000000005,226.98000000000002,42.77,-26.73
432737.2683524269,6424163.974603782,132.87860694254556,32.25,209.85,28.52,-26.740000000000002
432681.2681930787,6424211.810095345,132.86860694254557,32.24,151.85,73.91,-26.75
432672.84072708146,6424195.726699658,132.85860694254558,32.230000000000004,144.12,57.480000000000004,-26.76
432464.634121467,6424169.491206917,132.82860694254558,32.2,-62.77,22.34,-26.79
